symbol,output_size,window_size,data_mode,n_estimators,criterion,min_samples_leaf,max_depth,max_string_lenght:,val_score,test_score,balance_score
GOOGL,7,7,2,5,entropy,5,7,1000,0.4090909090909091,0.5714285714285714,0.56
AMZN,7,3,2,5,entropy,5,2,10000,0.4090909090909091,0.5892857142857143,0.5925925925925926
TSLA,3,7,2,5,gini,5,7,20000,0.4090909090909091,0.6333333333333333,0.6379310344827587
GOOGL,7,14,2,5,gini,5,9,10000,0.4090909090909091,0.5178571428571429,0.52
AAPL,3,3,2,5,entropy,5,1,10000,0.4090909090909091,0.55,0.6153846153846154
TSLA,3,3,2,5,entropy,5,3,1000,0.4090909090909091,0.5833333333333334,0.5862068965517241
AMZN,3,14,2,5,entropy,5,9,1000,0.4090909090909091,0.55,0.5555555555555556
MSFT,7,7,2,5,entropy,5,1,10000,0.4090909090909091,0.6607142857142857,0.7777777777777778
GOOGL,7,3,2,10,entropy,5,9,1000,0.4090909090909091,0.625,0.68
MSFT,3,14,2,5,gini,5,3,1000,0.4090909090909091,0.5,0.5
GOOGL,7,3,2,10,gini,5,7,1000,0.4090909090909091,0.48214285714285715,0.5
GOOGL,7,7,2,100,entropy,5,9,10000,0.4090909090909091,0.42857142857142855,0.46
AAPL,3,3,2,5,gini,5,7,10000,0.4090909090909091,0.4166666666666667,0.4423076923076923
TSLA,3,7,2,10,entropy,5,3,10000,0.4090909090909091,0.5,0.5
GOOGL,3,3,2,5,gini,5,8,10000,0.4090909090909091,0.5333333333333333,0.5769230769230769
TSLA,3,7,2,5,entropy,5,9,10000,0.4090909090909091,0.48333333333333334,0.4827586206896552
MSFT,7,14,2,5,gini,5,5,500,0.4090909090909091,0.4107142857142857,0.4444444444444444
GOOGL,7,14,2,5,gini,5,5,1000,0.4090909090909091,0.42857142857142855,0.38
AMZN,3,3,2,5,entropy,5,9,20000,0.4090909090909091,0.5,0.5
TSLA,7,3,2,10,gini,5,6,500,0.4090909090909091,0.48214285714285715,0.4772727272727273
AAPL,3,14,2,100,gini,5,2,10000,0.4090909090909091,0.5833333333333334,0.6346153846153846
MSFT,3,7,2,5,entropy,5,1,1000,0.4090909090909091,0.5,0.48
GOOGL,7,3,2,10,entropy,5,10,20000,0.4090909090909091,0.42857142857142855,0.42
AMZN,3,14,2,10,gini,5,10,20000,0.4090909090909091,0.5,0.48148148148148145
MSFT,3,14,2,10,gini,5,7,10000,0.4090909090909091,0.55,0.52
AAPL,3,7,2,5,gini,5,6,500,0.4090909090909091,0.4166666666666667,0.40384615384615385
GOOGL,7,3,2,10,entropy,5,1,20000,0.4090909090909091,0.30357142857142855,0.3
